Meme ID,url,title,Meme Page URL,MD5 Hash,File Size (In Bytes),Alternate Text,Display Name,Upper Text,Lower Text,downvotes,upvotes
10179132,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179132.jpg,Business Cat,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179132,1b87edfdffe7ec797d25df6c85eb3626,53566,?? ?? ???? ????????? 1488 ?????? ? ??? ??? ????? ????? ?? ????? ??????,Business Cat,?? ?? ???? ????????? 1488 ??????,? ??? ??? ????? ????? ?? ????? ??????,964,651
10179134,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179134.jpg,Socially Awkward Penguin,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179134,384b9fb4e1592dcdfca31a5b5a21cbe3,34421,???????.??????.??????? ???????.???????.??????,Socially Awkward Penguin,???????.??????.???????,???????.???????.??????,172,28
10179175,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179175.jpg,Insanity Wolf,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179175,fb250d95f56f492ad9b8b817895993c3,62203,tus amigos se vuelven wachiturros hacerles bullyng hasta que se depriman y se maten,Insanity Wolf,tus amigos se vuelven wachiturros,hacerles bullyng hasta que se depriman y se maten,582,93
10179201,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179201.jpg,Futurama Fry,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179201,b4f7658edaf58315d3add5f223ecedb8,46629,????????? ?? ????????,Futurama Fry,?????????,?? ????????,473,19
10179216,http://webarchive.loc.gov/all/0/https://cdn.meme.am/instances/250x250/10179216.jpg,Tennisyst,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179216,c85c01621ad8a3af272140164ebbad8e,39049,????????? ??????? ??? ???? ???????,Tennisyst,????????? ???????,??? ???? ???????,57,818
10179222,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179222.jpg,Insanity Wolf,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179222,b8151327055b2399d2d9ba4a04d3e2d7,57414,????? ?? ?????!,Insanity Wolf,?????,?? ?????!,190,162
10179224,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179224.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179224,3d19c2cb02b0b680a904547e2e4ac1e6,36239,?????? ?????? ???? ?? ?????? ? ????? ? ?????? ????????,Y U No,??????,?????? ???? ?? ?????? ? ????? ? ?????? ????????,320,407
10179243,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179243.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179243,d86c78ca5f252c49e96f62083ddcd37c,33412,??????  ??? ????? ??????????? ??????? ????????,Y U No,?????? ,??? ????? ??????????? ??????? ????????,383,470
10179277,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179277.jpg,Joseph Ducreux,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179277,90bdcb681588e446fffa1b188ea91f28,66583,"Juan y te chupo el orto fueron a robar un auto, a juan lo mataron quien kedo? te chupo el orto arre malisimo",Joseph Ducreux,"Juan y te chupo el orto fueron a robar un auto, a juan lo mataron quien kedo?",te chupo el orto arre malisimo,207,646
10179279,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179279.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179279,998ab02f1c29bde728250b555ebac690,32529,??????  ? ?????? ???????????,Y U No,?????? ,? ?????? ???????????,566,393
10179289,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179289.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179289,56fe05a9cf4a9cbd58a46369253b972f,42632,?? ??? ?????? ????????? ? ??? ???? ????????? ???? ?????? ?? ???? ?? ?????????,Y U No,?? ??? ??????,????????? ? ??? ???? ????????? ???? ?????? ?? ???? ?? ????????? ,163,483
10179292,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179292.jpg,Annoying Facebook Girl,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179292,5ca5f20593804146ed0f2a35ecfa3c91,42519,"?? ??? ???? ????? ?? ??,?????????????",Annoying Facebook Girl,?? ??? ???? ?????,"?? ??,?????????????",520,349
